会社名,店舗名,都道府県,住所,店舗URL,問い合わせフォームURL,代表電話番号,店舗電話番号,お問い合わせメールアドレス,店舗数（会社全体）,本部URL,採用ページURL,Google口コミ件数,Google評価,備考
ピタットハウス,川崎西口店,神奈川県,,https://www.pitat.com/shopDetail/kawasakinishiguchi.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,川崎駅前店,神奈川県,,https://www.pitat.com/shopDetail/kawasakiekimae.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,山手本牧店,神奈川県,,https://www.pitat.com/shopDetail/yamatehonmoku.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,八王子駅前店,東京都,,https://www.housecom.jp/shop/hachioji-ekimae-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,横浜店,神奈川県,,https://www.housecom.jp/shop/yokohama-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,川崎駅前店,神奈川県,,https://www.housecom.jp/shop/kawasaki-ekimae-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,ハウスコムコミュニケーションズ名古屋営業所,愛知県,,https://www.housecom.jp/shop/hcc-nagoya-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アパマンショップ,中野店,東京都,,https://www.apamanshop.com/shop/13047401/,,,,,"約1,093店舗(2021・賃貸仲介No.1/要確認)",https://www.apamanshop.com/,https://www.apamannet.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アパマンショップ,大阪駅前店,大阪府,,https://www.apamanshop.com/shop/27009223/,,,,,"約1,093店舗(2021・賃貸仲介No.1/要確認)",https://www.apamanshop.com/,https://www.apamannet.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アパマンショップ,なんば店,大阪府,,https://www.apamanshop.com/shop/27006403/,,,,,"約1,093店舗(2021・賃貸仲介No.1/要確認)",https://www.apamanshop.com/,https://www.apamannet.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アパマンショップ,梅田東店,大阪府,,https://www.apamanshop.com/shop/27006408/,,,,,"約1,093店舗(2021・賃貸仲介No.1/要確認)",https://www.apamanshop.com/,https://www.apamannet.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ルームピア(ROOMPIA),新宿東口店,東京都,,https://www.roompia.jp/public?page=shops_shinjukuhigashiguchi,,,,,直営9+サテライト16,https://www.roompia.jp/,https://www.ambitiondxholdings.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ルームピア(ROOMPIA),上野御徒町店,東京都,,https://www.roompia.jp/public?page=shops_ueno,,,,,直営9+サテライト16,https://www.roompia.jp/,https://www.ambitiondxholdings.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ルームピア(ROOMPIA),法人課,東京都,,https://www.roompia.jp/public?page=shops_corporation,,,,,直営9+サテライト16,https://www.roompia.jp/,https://www.ambitiondxholdings.com/recruit/,,,法人課 検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ルームピア(ROOMPIA),オンライン店,東京都,,https://www.roompia.jp/public?page=shops_online,,,,,直営9+サテライト16,https://www.roompia.jp/,https://www.ambitiondxholdings.com/recruit/,,,オンライン店 検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
エイブル,高田馬場店,東京都,,https://shop.able.co.jp/000000015/,,,,,全国 直営+FC(最新要確認),https://www.able.co.jp/,https://www.able.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
エイブル,高円寺店,東京都,,https://shop.able.co.jp/000000018/,,,,,全国 直営+FC(最新要確認),https://www.able.co.jp/,https://www.able.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
エイブル,阿佐ヶ谷店,東京都,,https://shop.able.co.jp/000000068/,,,,,全国 直営+FC(最新要確認),https://www.able.co.jp/,https://www.able.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
エイブル,国際センター(高田馬場),東京都,,https://shop.able.co.jp/000000350/,,,,,全国 直営+FC(最新要確認),https://www.able.co.jp/,https://www.able.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
エイブル,蕨店,埼玉県,,https://shop.able.co.jp/000000409/,,,,,全国 直営+FC(最新要確認),https://www.able.co.jp/,https://www.able.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
エイブル,大宮東口店,埼玉県,,https://shop.able.co.jp/000000402/,,,,,全国 直営+FC(最新要確認),https://www.able.co.jp/,https://www.able.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,高田馬場店,東京都,,https://minimini.jp/shop/10013/takadanobaba/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,中野店,東京都,,https://minimini.jp/shop/10013/nakano/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,立川北口店,東京都,,https://minimini.jp/shop/10013/tachikawakitaguchi/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,蒲田店,東京都,,https://minimini.jp/shop/10014/kamata/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,池袋西口店,東京都,,https://minimini.jp/shop/10011/ikebukuronishiguchi/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,千葉店,千葉県,,https://minimini.jp/shop/10012/chiba/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,船橋店,千葉県,,https://minimini.jp/shop/10012/funabashi/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ミニミニ,横浜西口店,神奈川県,,https://minimini.jp/shop/10016/yokohamanishiguchi/,,,,,"グループ約1,000店舗(要確認)",https://www.minimini.co.jp/,https://www.minimini.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アエラスグループ,登戸店,神奈川県,,https://www.aeras-group.jp/shop/aeras-noborito/,,,,,首都圏 直営67店舗,https://www.aeras-group.jp/,https://www.aeras-group.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アエラスグループ,大宮店,埼玉県,,https://www.aeras-group.jp/shop/aeras-omiya/,,,,,首都圏 直営67店舗,https://www.aeras-group.jp/,https://www.aeras-group.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アエラスグループ,南浦和店,埼玉県,,https://www.aeras-group.jp/shop/aeras-minamiurawa/,,,,,首都圏 直営67店舗,https://www.aeras-group.jp/,https://www.aeras-group.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,新宿店,東京都,,https://www.townhousing.co.jp/store/shinjuku,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,下北沢店,東京都,,https://www.townhousing.co.jp/store/shimo-kitazawa,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,中野店,東京都,,https://www.townhousing.co.jp/store/nakano,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,大宮西口店,埼玉県,,https://www.townhousing.co.jp/store/omiya-nishiguchi,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
タウンハウジング,大宮東口店,埼玉県,,https://www.townhousing.co.jp/store/omiya-higashiguchi,,,,,直営139店舗(東京/神奈川/埼玉/千葉),https://www.townhousing.co.jp/,https://town-group.co.jp/recruit/companies/townhousing,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,立川店,東京都,,https://www.pitat.com/shopDetail/tachikawa.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,新宿曙橋店,東京都,,https://www.pitat.com/shopDetail/hongo.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,中野店,東京都,,https://www.pitat.com/shopDetail/nakano.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,中野南口店,東京都,,https://www.pitat.com/shopDetail/nakanominamiguchi.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,大宮店,埼玉県,,https://www.pitat.com/shopDetail/omiya.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,浦和東口店,埼玉県,,https://www.pitat.com/shopDetail/urawahigashiguchi.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,千葉店,千葉県,,https://www.pitat.com/shopDetail/chiba.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,千葉中央店,千葉県,,https://www.pitat.com/shopDetail/chibachuo.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ピタットハウス,柏店,千葉県,,https://www.pitat.com/shopDetail/kashiwa.html,,,,,632店舗(2026/3末・直営116+NW516),https://www.pitat.com/,https://www.starts.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,立川店,東京都,,https://www.housecom.jp/shop/tachikawa-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,吉祥寺店,東京都,,https://www.housecom.jp/shop/kichijoji-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,立川南口店,東京都,,https://www.housecom.jp/shop/tachikawa-minamiguchi-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,新宿店,東京都,,https://www.housecom.jp/shop/shinjuku-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,大宮店,埼玉県,,https://www.housecom.jp/shop/omiya-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
ハウスコム,千葉店,千葉県,,https://www.housecom.jp/shop/chiba-hc/,,,,,グループ約232店舗,https://www.housecom.co.jp/,https://www.housecom.co.jp/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
アパマンショップ,渋谷道玄坂店,東京都,,https://www.apamanshop.com/shop/13062320/,,,,,"約1,093店舗(2021・賃貸仲介No.1/要確認)",https://www.apamanshop.com/,https://www.apamannet.com/recruit/,,,検索由来・店舗URL要HTTP200確認(run.pyで自動検証)
